Nr.,Navn,km2,1980,1990,2000,2006,2014,2018,2019,2020,2021,indb/km2,Region
55,Rødovre,"12,20",38.020,35.350,36.317,36.506,37.589,39.343,40.052,40.652,41.113,3370,Hovedstaden
56,Furesø,"56,80",...,...,...,37.370,38.670,40.911,41.069,40.965,41.001,722,Hovedstaden
57,Fredensborg,"112,10",...,...,...,39.131,39.701,40.779,40.819,40.865,40.998,366,Hovedstaden
58,Gribskov,"279,50",...,...,...,40.360,40.968,41.217,41.195,41.048,40.971,147,Hovedstaden
59,Assens,"511,50",11.013,10.615,10.718,41.369,41.076,41.328,41.212,40.965,40.867,80,Syddanmark
60,Lolland,"886,10",...,...,...,48.967,43.341,41.982,41.615,41.105,40.539,46,Sjælland
61,Bornholm,"588,40",47.780,45.900,44.337,43.245,40.096,39.632,39.572,39.499,39.570,67,Hovedstaden
62,Middelfart,"298,90",17.996,18.577,19.705,36.417,37.874,38.210,38.553,38.853,39.116,131,Syddanmark
63,Jammerbugt,"864,10",...,...,...,38.704,38.423,38.638,38.460,38.324,38.175,44,Nordjylland
64,Tønder,"1283,90",12.521,12.532,12.706,40.691,38.206,37.777,37.587,37.366,37.050,29,Syddanmark
65,Norddjurs,"721,00",...,...,...,38.430,37.867,38.197,37.680,37.089,36.943,51,Midtjylland
66,Faxe,"404,90",...,...,...,34.661,35.162,36.139,36.513,36.576,36.713,91,Sjælland
67,Vesthimmerland,"769,80",...,...,...,37.871,37.474,37.277,37.121,36.727,36.362,47,Nordjylland
68,Brønderslev,"633,10",20.290,20.199,20.089,35.313,35.694,36.289,36.370,36.304,36.177,57,Nordjylland
69,Brøndby,"21,00",38.034,34.041,34.354,34.247,34.886,35.538,35.397,35.090,35.232,1678,Hovedstaden
70,Ringsted,"294,70",28.016,28.393,29.547,31.094,33.516,34.473,34.725,34.852,34.847,118,Sjælland
71,Odsherred,"354,10",...,...,...,32.890,32.743,33.083,33.122,32.957,32.923,93,Sjælland
72,Nyborg,"276,80",18.638,18.207,18.765,31.208,31.396,32.032,32.042,32.009,31.933,115,Syddanmark
73,Halsnæs,"121,90",...,...,...,30.513,30.750,31.168,31.271,31.384,31.420,258,Hovedstaden
74,Rebild,"621,30",...,...,...,28.348,28.925,29.827,29.916,30.113,30.518,49,Nordjylland
75,Sorø,"308,50",14.135,14.282,14.804,28.686,29.270,29.669,29.834,29.881,29.993,97,Sjælland
76,Nordfyn,"452,30",...,...,...,28.876,29.053,29.516,29.693,29.665,29.549,65,Syddanmark
77,Herlev,"12,10",28.530,26.717,27.365,27.023,27.972,28.572,28.786,28.953,28.913,2390,Hovedstaden
78,Lejre,"238,90",8.268,8.383,8.497,26.132,27.048,27.544,27.775,27.996,28.173,118,Sjælland
79,Albertslund,"23,20",30.425,29.413,29.331,27.853,27.721,27.743,27.877,27.731,27.366,1180,Hovedstaden
80,Billund,"540,20",6.608,7.849,8.647,26.133,26.399,26.482,26.629,26.608,26.551,49,Syddanmark
81,Allerød,"67,40",21.290,21.410,22.943,23.498,24.250,25.235,25.646,25.633,25.893,384,Hovedstaden
82,Hørsholm,"31,30",21.585,23.176,23.648,24.317,24.816,25.028,25.007,24.864,24.917,796,Hovedstaden
83,Kerteminde,"205,90",10.312,10.371,10.846,23.239,23.797,23.756,23.773,23.812,23.847,116,Syddanmark
84,Solrød,"40,10",16.319,18.892,19.998,20.877,21.468,22.518,23.065,23.255,23.441,585,Sjælland
85,Odder,"233,70",17.654,18.744,19.901,21.332,21.825,22.626,22.675,23.128,23.380,100,Midtjylland
86,Ishøj,"26,50",20.483,20.575,21.023,20.820,21.761,22.988,22.946,22.989,23.131,873,Hovedstaden
87,Stevns,"250,10",10.052,10.625,11.131,21.834,21.920,22.727,22.782,22.805,23.034,92,Sjælland
88,Glostrup,"13,30",19.573,19.747,20.229,20.699,22.243,22.663,22.615,22.844,22.979,1728,Hovedstaden
89,Struer,"246,20",18.876,19.162,19.233,22.695,21.594,21.270,21.143,21.036,20.808,85,Midtjylland
90,Morsø,"366,40",24.647,23.814,22.989,22.333,20.941,20.514,20.403,20.247,20.066,55,Nordjylland
91,Lemvig,"508,80",19.773,19.019,18.823,22.483,20.838,20.133,19.998,19.722,19.607,39,Midtjylland
92,Vallensbæk,"9,50",12.302,11.752,12.047,12.230,15.103,16.280,16.654,16.633,16.515,1738,Hovedstaden
93,Dragør,"18,30",12.779,12.282,12.753,13.154,13.951,14.272,14.270,14.494,14.569,796,Hovedstaden
94,Langeland,"289,20",...,...,...,14.120,12.654,12.641,12.560,12.491,12.367,43,Syddanmark
95,Ærø,"90,10",...,...,...,6.873,6.322,6.178,6.058,5.964,5.960,66,Syddanmark
96,Samsø,"113,60",4.910,4.394,4.233,4.124,3.768,3.720,3.684,3.657,3.682,32,Midtjylland
97,Fanø,"57,60",2.973,3.188,3.214,3.143,3.256,3.401,3.404,3.488,3.456,60,Syddanmark
98,Læsø,"120,50",2.683,2.512,2.293,2.091,1.807,1.807,1.806,1.786,1.764,15,Nordjylland
